Event#,Date,Temperature
1,5/18/2022 16:30,15.76
2,5/18/2022 17:30,15.378
3,5/18/2022 18:30,15.187
4,5/18/2022 19:30,14.804
5,5/18/2022 20:30,14.421
6,5/18/2022 21:30,14.325
7,5/18/2022 22:30,14.325
8,5/18/2022 23:30,14.325
9,5/19/2022 0:30,12.69
10,5/19/2022 1:30,12.594
11,5/19/2022 2:30,13.173
12,5/19/2022 3:30,12.98
13,5/19/2022 4:30,12.98
14,5/19/2022 5:30,13.076
15,5/19/2022 6:30,13.173
16,5/19/2022 7:30,13.365
17,5/19/2022 8:30,13.365
18,5/19/2022 9:30,13.558
19,5/19/2022 10:30,13.654
20,5/19/2022 11:30,13.461
21,5/19/2022 12:30,13.654
22,5/19/2022 13:30,14.038
23,5/19/2022 14:30,14.038
24,5/19/2022 15:30,14.613
25,5/19/2022 16:30,15.855
26,5/19/2022 17:30,16.237
27,5/19/2022 18:30,16.141
28,5/19/2022 19:30,14.038
29,5/19/2022 20:30,11.819
30,5/19/2022 21:30,11.139
31,5/19/2022 22:30,10.553
32,5/19/2022 23:30,10.357
33,5/20/2022 0:30,10.259
34,5/20/2022 1:30,10.161
35,5/20/2022 2:30,10.063
36,5/20/2022 3:30,9.965
37,5/20/2022 4:30,9.866
38,5/20/2022 5:30,9.768
39,5/20/2022 6:30,9.669
40,5/20/2022 7:30,9.866
41,5/20/2022 8:30,10.161
42,5/20/2022 9:30,10.553
43,5/20/2022 10:30,10.846
44,5/20/2022 11:30,10.944
45,5/20/2022 12:30,11.139
46,5/20/2022 13:30,11.528
47,5/20/2022 14:30,11.625
48,5/20/2022 15:30,11.916
49,5/20/2022 16:30,12.11
50,5/20/2022 17:30,11.916
51,5/20/2022 18:30,11.625
52,5/20/2022 19:30,11.334
53,5/20/2022 20:30,11.528
54,5/20/2022 21:30,11.528
55,5/20/2022 22:30,11.334
56,5/20/2022 23:30,11.236
57,5/21/2022 0:30,11.139
58,5/21/2022 1:30,10.944
59,5/21/2022 2:30,10.651
60,5/21/2022 3:30,10.357
61,5/21/2022 4:30,10.161
62,5/21/2022 5:30,10.161
63,5/21/2022 6:30,10.259
64,5/21/2022 7:30,10.455
65,5/21/2022 8:30,10.748
66,5/21/2022 9:30,10.944
