Event#,Date,Temp
1,5/18/2022 16:22,12.497
2,5/18/2022 17:22,11.722
3,5/18/2022 18:22,11.722
4,5/18/2022 19:22,11.722
5,5/18/2022 20:22,11.528
6,5/18/2022 21:22,11.625
7,5/18/2022 22:22,11.722
8,5/18/2022 23:22,11.528
9,5/19/2022 0:22,11.139
10,5/19/2022 1:22,10.944
11,5/19/2022 2:22,11.236
12,5/19/2022 3:22,11.236
13,5/19/2022 4:22,11.722
14,5/19/2022 5:22,12.304
15,5/19/2022 6:22,12.497
16,5/19/2022 7:22,12.497
17,5/19/2022 8:22,12.401
18,5/19/2022 9:22,12.304
19,5/19/2022 10:22,10.944
20,5/19/2022 11:22,10.944
21,5/19/2022 12:22,10.748
22,5/19/2022 13:22,11.625
23,5/19/2022 14:22,11.334
24,5/19/2022 15:22,11.528
25,5/19/2022 16:22,11.722
26,5/19/2022 17:22,11.334
27,5/19/2022 18:22,10.944
28,5/19/2022 19:22,10.651
29,5/19/2022 20:22,10.651
30,5/19/2022 21:22,10.553
31,5/19/2022 22:22,10.455
32,5/19/2022 23:22,10.357
33,5/20/2022 0:22,10.259
34,5/20/2022 1:22,10.259
35,5/20/2022 2:22,10.161
36,5/20/2022 3:22,10.063
37,5/20/2022 4:22,10.063
38,5/20/2022 5:22,10.063
39,5/20/2022 6:22,10.063
40,5/20/2022 7:22,10.161
41,5/20/2022 8:22,10.161
42,5/20/2022 9:22,10.161
43,5/20/2022 10:22,10.161
44,5/20/2022 11:22,10.161
45,5/20/2022 12:22,10.455
46,5/20/2022 13:22,10.357
47,5/20/2022 14:22,10.455
48,5/20/2022 15:22,10.651
49,5/20/2022 16:22,10.357
50,5/20/2022 17:22,10.259
51,5/20/2022 18:22,10.161
52,5/20/2022 19:22,10.063
53,5/20/2022 20:22,10.063
54,5/20/2022 21:22,10.063
55,5/20/2022 22:22,10.259
56,5/20/2022 23:22,10.259
57,5/21/2022 0:22,10.748
58,5/21/2022 1:22,10.846
59,5/21/2022 2:22,10.748
60,5/21/2022 3:22,10.651
61,5/21/2022 4:22,10.455
62,5/21/2022 5:22,10.357
63,5/21/2022 6:22,10.259
64,5/21/2022 7:22,10.259
65,5/21/2022 8:22,10.259
66,5/21/2022 9:22,10.259
67,5/21/2022 10:22,10.357
68,5/21/2022 11:22,10.651
69,5/21/2022 12:22,10.651
70,5/21/2022 13:22,10.455
71,5/21/2022 14:22,10.651
72,5/21/2022 15:22,11.139
73,5/21/2022 16:22,11.139
74,5/21/2022 17:22,10.553
75,5/21/2022 18:22,10.748
76,5/21/2022 19:22,10.161
77,5/21/2022 20:22,10.161
78,5/21/2022 21:22,10.455
79,5/21/2022 22:22,10.455
80,5/21/2022 23:22,10.161
81,5/22/2022 0:22,10.553
82,5/22/2022 1:22,10.944
83,5/22/2022 2:22,11.236
84,5/22/2022 3:22,10.161
85,5/22/2022 4:22,9.965
86,5/22/2022 5:22,10.063
87,5/22/2022 6:22,10.259
88,5/22/2022 7:22,10.357
89,5/22/2022 8:22,10.357
90,5/22/2022 9:22,10.455
91,5/22/2022 10:22,10.553
92,5/22/2022 11:22,10.553
93,5/22/2022 12:22,10.748
94,5/22/2022 13:22,10.846
95,5/22/2022 14:22,11.041
96,5/22/2022 15:22,11.236
97,5/22/2022 16:22,11.334
98,5/22/2022 17:22,11.431
99,5/22/2022 18:22,11.722
100,5/22/2022 19:22,11.819
101,5/22/2022 20:22,11.431
102,5/22/2022 21:22,10.944
103,5/22/2022 22:22,10.944
104,5/22/2022 23:22,10.944
105,5/23/2022 0:22,10.846
106,5/23/2022 1:22,10.748
107,5/23/2022 2:22,10.846
108,5/23/2022 3:22,11.139
109,5/23/2022 4:22,11.041
110,5/23/2022 5:22,11.041
111,5/23/2022 6:22,11.041
112,5/23/2022 7:22,10.944
113,5/23/2022 8:22,10.944
114,5/23/2022 9:22,11.139
115,5/23/2022 10:22,11.528
116,5/23/2022 11:22,11.431
117,5/23/2022 12:22,11.528
118,5/23/2022 13:22,11.625
119,5/23/2022 14:22,11.625
120,5/23/2022 15:22,11.625
121,5/23/2022 16:22,11.528
122,5/23/2022 17:22,11.625
123,5/23/2022 18:22,11.916
124,5/23/2022 19:22,11.722
125,5/23/2022 20:22,11.722
126,5/23/2022 21:22,12.013
127,5/23/2022 22:22,12.013
128,5/23/2022 23:22,12.013
129,5/24/2022 0:22,12.207
130,5/24/2022 1:22,11.819
131,5/24/2022 2:22,11.722
132,5/24/2022 3:22,11.722
133,5/24/2022 4:22,11.722
134,5/24/2022 5:22,11.722
135,5/24/2022 6:22,11.528
136,5/24/2022 7:22,11.819
137,5/24/2022 8:22,12.207
138,5/24/2022 9:22,12.98
139,5/24/2022 10:22,12.207
140,5/24/2022 11:22,12.207
141,5/24/2022 12:22,12.594
142,5/24/2022 13:22,13.365
